Уникальный идентификатор клиента;Дата совершенной транзакции;Дата и время совершенной транзакции;Сумма совершенного перевода;Уникальный идентификатор транзакции;Зашифрованный идентификатор получателя/destination транзакции;Размеченные транзакции(переводы), где 1 - мошенническая операция , 0 - чистая
455579485;'2025-05-12 00:00:00.000';'2025-05-12 15:30:37.000';20000.0;1046;09e5b4b08c8b9f2b46119ea900a9db3e;0
451851768;'2025-04-11 00:00:00.000';'2025-04-11 15:17:04.000';70000.0;7350;786981b9487c1fdc5cd9feb7362be984;0
2933493153;'2025-07-23 00:00:00.000';'2025-07-23 09:11:43.000';200.0;2062;d677d4e1a0f625e1ad746ea950c9dca9;0
452966691;'2025-05-16 00:00:00.000';'2025-05-16 02:39:00.000';38000.0;5096;c4ea468194fa3162a9e67d10a761d7bb;0
456326660;'2025-08-07 00:00:00.000';'2025-08-07 15:53:18.000';32000.0;9217;de9b8efe9fa087d27b1a81429ca856be;0
452171932;'2024-12-15 00:00:00.000';'2024-12-15 11:02:01.000';40000.0;9603;47344e7b172a9693714f42a664759568;0
2937762710;'2025-04-03 00:00:00.000';'2025-04-03 20:57:40.000';20000.0;10406;750d7b7228fbb420c8347ec27bff63c9;0
2937708912;'2025-01-02 00:00:00.000';'2025-01-02 22:34:39.000';5000.0;370;e9775740c162065df7fd33e33bfb86e2;0
453006901;'2025-02-25 00:00:00.000';'2025-02-25 21:46:14.000';30000.0;4224;b207695c11108d4b0f80c30275148d90;0
455536283;'2025-02-21 00:00:00.000';'2025-02-21 20:13:46.000';15000.0;7513;456df69c93f581a12ac8b6b4f901cc83;0
456088424;'2025-04-10 00:00:00.000';'2025-04-10 11:21:50.000';350000.0;272;0464cf610fd775cef7503005ac1dc8f7;0
2937762710;'2025-03-31 00:00:00.000';'2025-03-31 12:21:21.000';15000.0;576;3d120a22e38280f1b4ca3431453804b2;0
456591642;'2025-01-29 00:00:00.000';'2025-01-29 15:18:21.000';43000.0;6192;59fb538d5c6a9b5853b5787a29c02102;0
2933725046;'2025-05-13 00:00:00.000';'2025-05-13 17:37:14.000';3000.0;7037;639bd8a0613721b132d1778ea861238c;0
456649741;'2025-05-08 00:00:00.000';'2025-05-08 19:03:42.000';239000.0;4;0a8392672afd74eac67ce8c3de84850c;0
498811236;'2025-04-10 00:00:00.000';'2025-04-10 14:06:16.000';140000.0;12;5b8673bac61c2f1050867aeed437a5bf;0
456175450;'2025-06-19 00:00:00.000';'2025-06-19 21:26:36.000';20000.0;17;8af822d1743890a91682fc1283abac85;0
2933375279;'2024-12-21 00:00:00.000';'2024-12-21 17:43:42.000';5000.0;78;0c1de05ea765df1559aabe6d5e076133;0
2937668970;'2024-12-25 00:00:00.000';'2024-12-25 13:24:15.000';24500.0;172;7fc3568e388a9b8fad9ff224b240b471;0
465356982;'2025-04-30 00:00:00.000';'2025-04-30 18:13:42.000';2000.0;282;9030efc541153c7eb82a2280c59cda34;0
450724681;'2025-08-09 00:00:00.000';'2025-08-09 09:42:26.000';40000.0;431;b1bad967c9a07c387478a24f700412f8;0
455912976;'2025-03-29 00:00:00.000';'2025-03-29 13:55:33.000';503420.0;5722;674f115fe46fae16c53be56f47851cee;0
2938167961;'2025-01-06 00:00:00.000';'2025-01-06 16:01:42.000';376.0;8193;70013924a3d35b1a300fb4cf4b114013;0
2937630576;'2025-05-03 00:00:00.000';'2025-05-03 22:01:54.000';1000.0;543;142fb99b4b6a17e93c69436463fe45bb;0
453720887;'2024-12-26 00:00:00.000';'2024-12-26 08:39:24.000';2000.0;567;bee9a10bc22c161b1c24ffee7fe89c0e;0
2112334789;'2024-12-13 00:00:00.000';'2024-12-13 20:00:41.000';200000.0;1906;e66f065f440e373f227cad37cfa8dafc;0
452139692;'2025-06-20 00:00:00.000';'2025-06-20 15:38:49.000';35244.0;8301;2c535cf793c342d6f82325332e48e591;0
2095314234;'2024-12-29 00:00:00.000';'2024-12-29 17:30:26.000';5000.0;8355;5eb09003e1a1831ed3bf03315edaae0e;0
2685329878;'2025-04-15 00:00:00.000';'2025-04-15 19:33:13.000';15000.0;849;305954fb3eb7e15ada96d2c56b17213f;0
2937939312;'2025-03-10 00:00:00.000';'2025-03-10 11:57:08.000';120000.0;4850;56f40729d51a181b4a17fa03935b8ebb;0
456088424;'2025-06-10 00:00:00.000';'2025-06-10 10:33:07.000';253000.0;6195;f17d6300fb05c9772d4943dc6f0b09d6;0
453055831;'2025-06-16 00:00:00.000';'2025-06-16 15:17:04.000';20000.0;7884;c759542130fdd1be9959b0d256487f47;0
454304966;'2024-12-15 00:00:00.000';'2024-12-15 19:35:12.000';10000.0;1598;6e5de7c73cc79fd90dfef27cf2fe3402;0
453660874;'2025-02-28 00:00:00.000';'2025-02-28 13:53:05.000';50000.0;4594;8ac59ed95a57e7e893b3bd1bf44044c9;0
452718092;'2025-03-09 00:00:00.000';'2025-03-09 09:51:27.000';5000.0;6883;f7492eccd201d138a6381c4c09c562e9;0
2934295459;'2025-03-14 00:00:00.000';'2025-03-14 17:27:15.000';1500.0;3489;e1a6e2449e3ceb7a51c502c0b2c8490a;0
456088424;'2025-02-04 00:00:00.000';'2025-02-04 10:43:49.000';254000.0;10691;f17d6300fb05c9772d4943dc6f0b09d6;0
455579485;'2025-06-11 00:00:00.000';'2025-06-11 18:37:55.000';50000.0;11762;09e5b4b08c8b9f2b46119ea900a9db3e;0
452274831;'2025-02-05 00:00:00.000';'2025-02-05 11:31:22.000';80000.0;12032;eb73122c4d7478bb4e3189b32630c20c;0
2937859498;'2024-12-23 00:00:00.000';'2024-12-23 16:31:54.000';13000.0;995;1f1ec07ffa06b3258d49beb4fb3d9f63;0
2937654982;'2025-01-15 00:00:00.000';'2025-01-15 23:55:47.000';10000.0;4519;4c8851ae5c8d1ffa37f74745700414eb;0
2938218494;'2025-06-19 00:00:00.000';'2025-06-19 15:49:12.000';44500.0;4673;615fe53ea2d590eb8a33374f15110e9a;1
2938000220;'2025-03-01 00:00:00.000';'2025-03-01 12:47:07.000';168000.0;4982;b158990187a7984552bcfe2087529758;0
2937649420;'2025-01-02 00:00:00.000';'2025-01-02 04:45:05.000';6000.0;11990;d81e3bd095e0581d0b03618ea8ed5654;0
2933375279;'2024-12-10 00:00:00.000';'2024-12-10 22:16:56.000';10000.0;7179;0c1de05ea765df1559aabe6d5e076133;0
497566784;'2025-06-06 00:00:00.000';'2025-06-06 11:56:24.000';5000.0;8700;4e2937106cfbc9ebe27a335e05da57ad;0
2685838029;'2025-08-18 00:00:00.000';'2025-08-18 22:45:50.000';5000.0;10088;e08a6a4db528821b45f760caa53453e8;0
2937759666;'2025-04-01 00:00:00.000';'2025-04-01 12:35:15.000';25000.0;1473;22b84292f0ebce65ad0808342615a03b;0
452501700;'2025-08-12 00:00:00.000';'2025-08-12 13:12:49.000';2000.0;7285;672cb84be96d43307f178ec625be2345;0
456418779;'2025-04-15 00:00:00.000';'2025-04-15 12:15:07.000';9050.0;8598;cc0364e3ba50acd7b64a149815f9eac6;0
2938282460;'2025-08-20 00:00:00.000';'2025-08-20 16:13:25.000';301000.0;9251;8cfe18d7e0cff4060f90649295efdaf6;0
2112800905;'2025-05-07 00:00:00.000';'2025-05-07 09:31:44.000';50000.0;9869;c3c8daddee7d043dacec933a269a7a34;0
452195675;'2024-12-13 00:00:00.000';'2024-12-13 14:58:53.000';70000.0;868;7aaa305240632ea084f080b4cb23770a;0
2094722364;'2025-02-10 00:00:00.000';'2025-02-10 12:50:08.000';1000.0;3857;bff42a88483770721315d6987394864c;0
456311041;'2025-06-25 00:00:00.000';'2025-06-25 18:19:54.000';8990.0;4004;f4f69bca4c431e5ddaddef528632c24e;0
450724681;'2025-04-02 00:00:00.000';'2025-04-02 19:58:19.000';20000.0;10987;b1bad967c9a07c387478a24f700412f8;0
454966600;'2025-02-24 00:00:00.000';'2025-02-24 08:42:35.000';2500.0;12035;bda70a6b95599e421521efe1e6ebbe21;0
456167524;'2025-04-03 00:00:00.000';'2025-04-03 13:09:45.000';15000.0;12088;68d6b46306e875bfe51d6b5ab278f88b;0
456575558;'2024-12-13 00:00:00.000';'2024-12-13 21:02:17.000';8000.0;1890;881634846ca132371fed390271a7b096;0
2095336822;'2025-07-19 00:00:00.000';'2025-07-19 14:44:06.000';6500.0;4058;6a54a18e6601a3b624f39ae10a9e6c8d;0
453423845;'2025-03-02 00:00:00.000';'2025-03-02 14:24:09.000';28000.0;10780;8b951674204f84020ebcd8d99b6cb29c;0
483362542;'2025-06-11 00:00:00.000';'2025-06-11 02:33:45.000';30000.0;8075;8f3cea0cb2f0a7421ee6191c988547f1;0
452171932;'2025-05-08 00:00:00.000';'2025-05-08 15:43:51.000';1500.0;11802;47344e7b172a9693714f42a664759568;0
501247811;'2025-01-02 00:00:00.000';'2025-01-02 17:52:49.000';50000.0;11929;e033186a1b0a500fcfb636a1c8857b4a;0
2938890568;'2025-08-19 00:00:00.000';'2025-08-19 18:52:59.000';4000.0;12125;8bcf802f0d91d3a42410caa482d6cebf;0
456112296;'2025-01-10 00:00:00.000';'2025-01-10 15:16:33.000';60000.0;11465;92b3d49e784e7b0f93e6a0f9c55c2584;0
455840377;'2025-01-16 00:00:00.000';'2025-01-16 18:36:51.000';110000.0;12481;dd9da14294c3a8db36d59ca2efcc1d35;0
2937996612;'2025-05-07 00:00:00.000';'2025-05-07 09:03:13.000';183000.0;2572;7cb36fbe6484e90d779fac7f87907593;0
2685175517;'2025-05-15 00:00:00.000';'2025-05-15 13:00:39.000';99000.0;11255;6cb9048bdc967ec6b2c8210500c87ec9;0
2095314234;'2025-03-24 00:00:00.000';'2025-03-24 14:39:55.000';5000.0;11993;5eb09003e1a1831ed3bf03315edaae0e;0
452718092;'2025-07-18 00:00:00.000';'2025-07-18 12:23:28.000';2000.0;12015;f7492eccd201d138a6381c4c09c562e9;0
2937762710;'2025-03-13 00:00:00.000';'2025-03-13 13:22:11.000';25000.0;12887;db729c1f651ff5106b9e2ad2647bd5a4;0
2937698824;'2025-05-13 00:00:00.000';'2025-05-13 19:52:46.000';74000.0;1192;219643bbebae259e61057dbb1ddf8658;0
456167524;'2025-05-14 00:00:00.000';'2025-05-14 09:57:07.000';5000.0;1239;a105a22201f974b2e13e818b71b5eef4;0
452171932;'2025-06-09 00:00:00.000';'2025-06-09 14:07:35.000';15000.0;4435;47344e7b172a9693714f42a664759568;0
2933493153;'2025-04-26 00:00:00.000';'2025-04-26 09:25:45.000';1000.0;7936;d677d4e1a0f625e1ad746ea950c9dca9;0
456011212;'2025-01-22 00:00:00.000';'2025-01-22 15:55:09.000';800.0;4902;19bc3ce691a4d422532df64e3a8bd395;0
452718092;'2025-06-13 00:00:00.000';'2025-06-13 20:32:25.000';5000.0;5469;f7492eccd201d138a6381c4c09c562e9;0
465356982;'2025-05-07 00:00:00.000';'2025-05-07 19:45:35.000';5000.0;7569;9030efc541153c7eb82a2280c59cda34;0
498150051;'2025-01-13 00:00:00.000';'2025-01-13 14:44:05.000';3000.0;11226;60fcb1228a510afad6bd2932a25eb95b;0
2938023904;'2025-07-21 00:00:00.000';'2025-07-21 20:39:59.000';2500.0;11505;0012760d8661910c6291ba66aa0bec93;0
2112056730;'2025-01-07 00:00:00.000';'2025-01-07 15:51:11.000';156000.0;744;469c59cdb10b7b007c5f68fd1e9fc53b;0
2937764287;'2025-06-22 00:00:00.000';'2025-06-22 13:34:33.000';1600.0;1391;ef8fbc05a5c7b7f022d47b72654a9e1a;0
2933375279;'2025-06-21 00:00:00.000';'2025-06-21 12:44:20.000';5000.0;1753;0c1de05ea765df1559aabe6d5e076133;0
456065880;'2025-03-10 00:00:00.000';'2025-03-10 17:24:03.000';60000.0;4180;743464acdf1b92dff34e05a47db5aa36;0
2934704401;'2025-01-01 00:00:00.000';'2025-01-01 15:40:10.000';10000.0;4747;54dff19c6731ff0b5589627834cc6284;0
